cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3
"31","038","31038",Yucatán,84097.45000,832.05739,Hunucmá,"2336","2337",Poniente,"1",2030.17,9249.09,71500.22
"31","039","31039",Yucatán,13687.38000,135.49163,Ixil,"2337","2338",Noroeste,"2",219.13,2969.07,10492.72
"31","040","31040",Yucatán,45886.56000,454.70860,Izamal,"2338","2339",Centro,"3",0,14313.15,31573.41
"31","041","31041",Yucatán,10233.55000,101.34060,Kanasín,"2339","2340",Noroeste,"2",0,5197.57,5035.98
"31","042","31042",Yucatán,19973.32000,197.97444,Kantunil,"2340","2341",Centro,"3",0,882.33,19090.99
"31","043","31043",Yucatán,13731.66000,136.21297,Kaua,"2341","2342",Oriente,"6",0,92,13731.66
"31","044","31044",Yucatán,35644.62000,352.74649,Kinchil,"2342","2343",Poniente,"1",0,5353.44,30291.18
"31","045","31045",Yucatán,15796.80000,156.42068,Kopomá,"2343","2344",Poniente,"1",0,3182.45,12614.35
"31","046","31046",Yucatán,10048.21000,99.59496,Mama,"2344","2345",Sur,"7",0,38.06,10010.14
"31","047","31047",Yucatán,12686.82000,125.77785,Maní,"2345","2346",Sur,"7",0,268.04,12418.77
"31","048","31048",Yucatán,91241.57000,903.26287,Maxcanú,"2346","2347",Poniente,"1",0,10399.41,80821.35
"31","049","31049",Yucatán,9366.27000,92.86027,Mayapán,"2347","2348",Sur,"7",0,63.12,9303.15
"31","050","31050",Yucatán,88438.28000,875.57653,Mérida,"2348","2349",Noroeste,"2",4896,30373.17,53169.12
"31","051","31051",Yucatán,4725.65000,46.78734,Mocochá,"2349","2350",Noroeste,"2",0,2286.59,2439.06
"31","052","31052",Yucatán,32078.84000,317.66895,Motul,"2350","2351",Litoral centro,"4",0,17633.82,14445.02
"31","053","31053",Yucatán,39782.31000,394.15350,Muna,"2351","2352",Sur,"7",0,3590.8,36191.52
"31","054","31054",Yucatán,7168.47000,70.99324,Muxupip,"2352","2353",Litoral centro,"4",0,1672.46,5496.02
"31","055","31055",Yucatán,25974.52000,257.26178,Opichén,"2353","2354",Poniente,"1",0,1145.54,24828.98
"31","056","31056",Yucatán,86372.29000,856.52084,Oxkutzcab,"2354","2355",Sur,"7",0,3647.09,82681.29
"31","057","31057",Yucatán,66504.74000,658.99951,Panabá,"2355","2356",Noreste,"5",0,54059.58,12445.15
"31","058","31058",Yucatán,105515.28000,1047.35993,Peto,"2356","2357",Oriente,"6",0,5475.9,99946.35
"31","059","31059",Yucatán,66452.69000,657.35070,Progreso,"2357","2358",Noroeste,"2",6154.13,5292.43,28706.26
