id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
78, 0.3260, 0.3260, 0.2214, 0.2238, 0.2334, 0.2601, 0.2898, 0.4067, 0.4757, 0.5246, 0.5580
79, 0.3397, 0.3397, 0.3372, 0.3925, 0.4674, 0.5184, 0.5678, 0.5967, 0.6102, 0.6214, 0.6305
80, 0.3260, 0.3260, 0.2214, 0.2039, 0.2066, 0.2278, 0.2551, 0.2670, 0.3897, 0.4533, 0.4983
81, 0.3260, 0.3260, 0.2862, 0.2876, 0.3462, 0.4524, 0.5291, 0.5636, 0.6003, 0.6277, 0.6371
82, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
83, 0.3260, 0.3260, 0.2214, 0.2094, 0.2195, 0.2372, 0.2638, 0.3079, 0.4087, 0.4669, 0.5110
84, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0928, 0.0963, 0.1022, 0.1098, 0.1140, 0.1335
85, 0.3260, 0.3260, 0.2214, 0.2171, 0.2192, 0.2436, 0.2582, 0.3231, 0.3992, 0.4403, 0.4867
86, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0910, 0.0953, 0.1005, 0.1083, 0.1127, 0.1303
87, 0.4456, 0.4456, 0.5115, 0.6967, 0.7023, 0.6882, 0.6582, 0.6598, 0.6508, 0.6423, 0.6412
88, 0.4551, 0.4551, 0.4400, 0.4580, 0.5236, 0.5718, 0.5624, 0.6126, 0.6336, 0.6369, 0.6371
89, 0.3260, 0.3260, 0.2236, 0.2357, 0.2475, 0.2654, 0.3115, 0.4157, 0.4754, 0.5123, 0.5402
90, 0.3260, 0.3260, 0.2214, 0.2072, 0.2018, 0.2314, 0.2524, 0.3050, 0.3977, 0.4627, 0.5081
91, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
92, 0.4284, 0.4284, 0.4504, 0.7053, 0.6999, 0.6210, 0.6383, 0.6370, 0.6198, 0.6065, 0.5940
93, 0.3260, 0.3260, 0.2214, 0.2088, 0.2019, 0.2335, 0.2526, 0.3119, 0.4025, 0.4662, 0.5106
94, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
95, 0.3260, 0.3260, 0.2891, 0.2897, 0.3232, 0.4186, 0.4979, 0.5543, 0.5641, 0.5402, 0.5343
96, 0.4456, 0.4456, 0.4841, 0.6200, 0.6735, 0.6311, 0.6513, 0.6267, 0.6050, 0.5880, 0.5961
97, 0.3260, 0.3260, 0.2214, 0.1951, 0.2014, 0.2220, 0.2428, 0.2329, 0.3374, 0.4122, 0.4621
98, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
99, 0.3260, 0.3260, 0.2214, 0.2307, 0.2387, 0.2530, 0.2822, 0.3794, 0.4458, 0.4917, 0.5118
100, 0.3610, 0.3610, 0.3436, 0.4488, 0.5666, 0.6395, 0.6208, 0.5968, 0.5924, 0.5952, 0.5910
101, 0.3761, 0.3761, 0.4249, 0.4765, 0.6486, 0.6160, 0.6350, 0.6091, 0.6078, 0.5830, 0.5553
102, 0.3260, 0.3260, 0.2214, 0.2088, 0.2120, 0.2409, 0.2622, 0.3245, 0.4113, 0.4696, 0.5108
103, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
104, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
105, 0.3761, 0.3761, 0.4352, 0.4786, 0.6055, 0.5952, 0.5906, 0.6194, 0.5940, 0.5765, 0.5680
106, 0.3260, 0.3260, 0.3059, 0.4198, 0.5455, 0.5904, 0.6327, 0.6274, 0.6092, 0.5947, 0.6047
107, 0.3260, 0.3260, 0.2231, 0.2690, 0.3862, 0.3966, 0.4194, 0.5073, 0.5575, 0.5853, 0.5734
108, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
109, 0.3260, 0.3260, 0.2490, 0.4259, 0.4515, 0.4329, 0.5338, 0.6034, 0.5908, 0.6037, 0.6118
110, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
111, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
113, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
115, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
117, 0.3260, 0.3260, 0.2214, 0.1960, 0.1953, 0.2145, 0.2312, 0.2091, 0.3082, 0.3718, 0.4189
118, 0.3260, 0.3260, 0.2214, 0.1966, 0.1959, 0.2154, 0.2429, 0.2291, 0.3508, 0.4332, 0.4852
119, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0865, 0.0869, 0.0971, 0.0989, 0.0913
120, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0349
121, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
122, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
123, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
124, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
125, 0.3260, 0.3260, 0.2214, 0.1972, 0.1964, 0.2164, 0.2273, 0.2538, 0.3181, 0.3878, 0.4316
126, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
127, 0.3260, 0.3260, 0.2214, 0.1961, 0.1954, 0.2134, 0.2331, 0.2248, 0.3129, 0.3880, 0.4494
128, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
129, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
131, 0.3260, 0.3260, 0.2214, 0.1555, 0.1410, 0.1438, 0.1511, 0.1644, 0.1762, 0.1940, 0.1949
133, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
134, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
