id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
62, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
64, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
65, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
67, 0.3260, 0.3260, 0.2214, 0.2006, 0.1543, 0.1529, 0.1489, 0.1433, 0.1634, 0.1740, 0.1913
68, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
69, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
70, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
71, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
72, 0.3260, 0.3260, 0.2499, 0.2005, 0.1965, 0.1851, 0.1716, 0.2094, 0.2128, 0.2116, 0.2126
73, 0.3260, 0.3260, 0.2537, 0.2181, 0.2479, 0.2903, 0.3783, 0.4616, 0.5065, 0.5363, 0.5478
74, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
75, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
76, 0.3260, 0.3260, 0.2214, 0.2000, 0.1605, 0.1579, 0.1554, 0.1457, 0.1637, 0.1695, 0.1848
77, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
78, 0.3260, 0.3260, 0.2214, 0.2175, 0.2334, 0.2601, 0.2898, 0.4067, 0.4757, 0.5246, 0.5580
79, 0.3397, 0.3397, 0.3372, 0.3797, 0.4425, 0.4939, 0.5453, 0.5665, 0.5723, 0.5733, 0.5707
80, 0.3260, 0.3260, 0.2214, 0.2008, 0.1541, 0.1552, 0.1707, 0.2184, 0.2360, 0.3244, 0.4322
81, 0.3260, 0.3260, 0.2759, 0.2833, 0.3246, 0.4144, 0.5033, 0.5336, 0.5774, 0.6114, 0.6371
82, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
83, 0.3260, 0.3260, 0.2214, 0.1959, 0.1587, 0.1562, 0.1793, 0.2216, 0.2349, 0.2682, 0.3576
84, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0928, 0.0963, 0.0762, 0.0605, 0.0565, 0.0595
85, 0.3260, 0.3260, 0.2214, 0.1975, 0.1621, 0.1623, 0.1568, 0.1643, 0.1767, 0.1825, 0.1859
86, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0910, 0.0953, 0.0768, 0.0599, 0.0560, 0.0583
87, 0.3846, 0.3846, 0.3602, 0.5263, 0.6164, 0.6880, 0.6582, 0.6598, 0.6508, 0.6423, 0.6412
88, 0.3926, 0.3926, 0.3331, 0.4588, 0.5237, 0.4900, 0.5393, 0.5901, 0.6294, 0.6369, 0.6371
89, 0.3260, 0.3260, 0.2236, 0.2357, 0.2416, 0.2553, 0.3004, 0.3872, 0.4310, 0.4721, 0.5146
90, 0.3260, 0.3260, 0.2214, 0.2019, 0.1694, 0.1680, 0.2282, 0.2537, 0.3559, 0.4221, 0.4679
91, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
92, 0.3683, 0.3683, 0.2917, 0.5145, 0.4461, 0.5735, 0.6072, 0.5987, 0.5711, 0.5613, 0.5585
93, 0.3260, 0.3260, 0.2214, 0.2018, 0.1695, 0.1670, 0.2283, 0.2531, 0.3604, 0.4257, 0.4713
94, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
95, 0.3260, 0.3260, 0.2579, 0.2843, 0.3262, 0.4164, 0.4979, 0.5524, 0.5423, 0.5513, 0.5688
96, 0.3846, 0.3846, 0.2998, 0.4511, 0.5729, 0.6311, 0.6513, 0.6267, 0.6050, 0.5880, 0.5961
97, 0.3260, 0.3260, 0.2214, 0.1951, 0.1474, 0.1461, 0.1424, 0.1246, 0.1467, 0.1736, 0.1907
98, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
99, 0.3260, 0.3260, 0.2214, 0.2307, 0.2387, 0.2404, 0.2660, 0.3482, 0.4132, 0.4639, 0.4943
100, 0.3511, 0.3511, 0.2990, 0.3071, 0.5836, 0.6383, 0.6208, 0.5968, 0.5924, 0.5952, 0.5910
101, 0.3649, 0.3649, 0.2774, 0.3101, 0.4991, 0.6217, 0.6350, 0.6091, 0.6078, 0.5830, 0.5553
102, 0.3260, 0.3260, 0.2214, 0.1975, 0.1576, 0.1563, 0.1523, 0.1572, 0.1695, 0.1765, 0.1887
103, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
