cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_12,clase_13,clase_16,clase_17,clase_18,clase_19
"31","016","31016",Yucatán,11465.42000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",0,0,0,0,0,0,0,0,0,0,0,11468.85,0,0,0,0
"31","017","31017",Yucatán,44348.89000,439.89861,Chankom,"2315","2316",Oriente,"6",0,0,0,0,0,0,0,0,0,0,0,44342.75,0,0,0,0
"31","018","31018",Yucatán,16940.66000,168.03446,Chapab,"2316","2317",Sur,"7",0,1574.36,0,0,62.33,0,0,0,0,0,15045.16,273.42,0,0,0,0
"31","019","31019",Yucatán,139846.00000,1386.41357,Chemax,"2317","2318",Oriente,"6",0,0,0,0,4491.14,0,5207.29,0,0,0,0,130053.43,0,0,0,0
"31","020","31020",Yucatán,4427.38000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",0,3749.36,0,0,0,0,0,0,0,0,682.01,0,0,0,0,0
"31","021","31021",Yucatán,46996.25000,466.20642,Chichimilá,"2319","2320",Oriente,"6",0,0,0,0,0.7,0,0,0,0,0,0,46975.32,0,0,0,0
"31","022","31022",Yucatán,47380.37000,470.16167,Chikindzonot,"2320","2321",Oriente,"6",0,0,0,0,448.87,0,0,0,0,0,0,46922.97,0,0,0,0
"31","023","31023",Yucatán,29285.79000,290.36740,Chocholá,"2321","2322",Poniente,"1",0,2797.55,0,0,820.51,0,0,0,0,0,25708.05,0,0,0,0,0
"31","024","31024",Yucatán,8383.77000,83.16274,Chumayel,"2322","2323",Sur,"7",0,0,0,0,80.51,0,0,0,0,0,0,8308.29,0,0,0,0
"31","025","31025",Yucatán,7991.30000,79.27994,Dzán,"2323","2324",Sur,"7",819.03,0,0,0,19.94,0,0,0,0,0,1833.67,5325.13,0,0,0,0
"31","026","31026",Yucatán,17410.64000,172.48678,Dzemul,"2324","2325",Litoral centro,"4",0,6838.99,704.2,638.04,584.69,0,0,485.91,0,387.16,7654.71,0,0,111.5,0,0
"31","027","31027",Yucatán,20753.28000,205.59232,Dzidzantún,"2325","2326",Litoral centro,"4",0,7008.84,0,1034.61,1634.39,0,0,1130.3,0,23.49,9846.02,0,0,0,0,0
"31","028","31028",Yucatán,43225.12000,428.12995,Dzilam de Bravo,"2326","2327",Litoral centro,"4",0,350.99,0,14142.65,3037.25,12102.38,0,267.91,0,291.81,3155.51,6226.9,0,2556.19,0,0
"31","029","31029",Yucatán,50647.28000,501.70990,Dzilam González,"2327","2328",Litoral centro,"4",0,3935.95,0,297.05,18532.96,1870.49,0,0,0,0,8162.83,17848.37,0,0,0,0
"31","030","31030",Yucatán,30955.54000,306.86940,Dzitás,"2328","2329",Oriente,"6",0,0,0,0,2022.65,0,0,0,0,0,0,28927.62,0,0,0,0
"31","031","31031",Yucatán,13340.91000,132.20039,Dzoncauich,"2329","2330",Litoral centro,"4",0,1926.36,0,0,4845.63,0,0,0,0,0,857.04,5713.25,0,0,0,0
"31","032","31032",Yucatán,73527.91000,728.68756,Espita,"2330","2331",Noreste,"5",0,1438.81,0,0,10534,0,0,0,0,0,0,61532.53,0,0,0,0
"31","033","31033",Yucatán,58631.09000,581.48907,Halachó,"2331","2332",Poniente,"1",0,6521.62,0,11416.5,2391.77,5822.07,0,0,0,0,22694.18,2200.86,0,586.13,0,7113.51
"31","034","31034",Yucatán,9491.03000,94.09100,Hocabá,"2332","2333",Centro,"3",0,6062.61,0,0,0,0,0,0,0,0,2932.87,500.78,0,0,0,0
"31","035","31035",Yucatán,12065.49000,119.60005,Hoctún,"2333","2334",Centro,"3",0,8186.8,0,0,468.79,0,0,0,0,0,174.68,3240.63,0,0,0,0
"31","036","31036",Yucatán,19981.44000,198.13180,Homún,"2334","2335",Centro,"3",0,7437.82,0,0,1377.26,0,0,0,0,0,7573.96,3603.61,0,0,0,0
"31","037","31037",Yucatán,19757.15000,195.90283,Huhí,"2335","2336",Centro,"3",0,4881.17,0,0,871.99,0,0,0,0,0,328.2,13684.07,0,0,0,0
"31","038","31038",Yucatán,83964.62000,832.05739,Hunucmá,"2336","2337",Poniente,"1",0,18230.34,0,22281.89,414.64,22447.69,0,3279.73,0,60.44,13194.11,0,0,4174.15,0,0
"31","039","31039",Yucatán,13676.04000,135.49163,Ixil,"2337","2338",Noroeste,"2",0,3499.03,0,1459.05,668.85,0,0,214.58,0,196.09,7264.37,0,0,383.21,0,0
