cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","020","31020",Yucatán,4427.38000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",0,777.67,0,0,549.17,0,0,108.75,0,0,2995.79,0,0,0,0,0,0,0
"31","021","31021",Yucatán,46996.25000,466.20642,Chichimilá,"2319","2320",Oriente,"6",0,0,7.45,0,0.58,0,0,196.64,0,0,0,46771.35,0,0,0,0,0,0
"31","022","31022",Yucatán,47380.37000,470.16167,Chikindzonot,"2320","2321",Oriente,"6",0,0,0,0,0,0,0,110.34,0,0,0,47261.5,0,0,0,0,0,0
"31","023","31023",Yucatán,29285.79000,290.36740,Chocholá,"2321","2322",Poniente,"1",177.51,5559.21,57.36,0,1902.86,0,0,115.64,0,0,0,21513.53,0,0,0,0,0,0
"31","024","31024",Yucatán,8383.77000,83.16274,Chumayel,"2322","2323",Sur,"7",0,0,0,0,0,0,0,87.69,0,0,0,8301.1,0,0,0,0,0,0
"31","025","31025",Yucatán,7991.30000,79.27994,Dzán,"2323","2324",Sur,"7",1802.39,0,0,0,0,0,0,137.89,0,0,0,6057.49,0,0,0,0,0,0
"31","026","31026",Yucatán,17410.64000,172.48678,Dzemul,"2324","2325",Litoral centro,"4",0,3264.68,46.79,1955.69,2355.75,0,46.8,248.17,474.62,0,7042.04,1961.71,0,0,1.61,23.3,0,0
"31","027","31027",Yucatán,20753.28000,205.59232,Dzidzantún,"2325","2326",Litoral centro,"4",0,596.03,0,1002.67,8607.77,0,984.3,324.63,88.98,0,4464.1,4690.85,0,0,0,0,0,0
"31","028","31028",Yucatán,43225.12000,428.12995,Dzilam de Bravo,"2326","2327",Litoral centro,"4",0,0,7.77,14304.92,12288.42,0,288.68,47.99,243.75,419.79,9420.27,3018.59,0,0,0,2127.61,0,0
"31","029","31029",Yucatán,50647.28000,501.70990,Dzilam González,"2327","2328",Litoral centro,"4",0,1204.12,39.18,128.37,37060.54,0,0,136.2,0,0,2571.97,9462.22,0,0,0,45.05,0,0
"31","030","31030",Yucatán,30955.54000,306.86940,Dzitás,"2328","2329",Oriente,"6",0,0,0,0,209.06,0,0,123.74,0,0,0,30617.47,0,0,0,0,0,0
"31","031","31031",Yucatán,13340.91000,132.20039,Dzoncauich,"2329","2330",Litoral centro,"4",0,193.7,1.25,0,9709.11,0,0,51.37,0,0,0,3386.85,0,0,0,0,0,0
"31","032","31032",Yucatán,73527.91000,728.68756,Espita,"2330","2331",Noreste,"5",0,628.37,0,0,16164.44,0,0,290.71,0,0,0,56421.83,0,0,0,0,0,0
"31","033","31033",Yucatán,58631.09000,581.48907,Halachó,"2331","2332",Poniente,"1",1379.87,1038.87,0,7529.11,8474.49,0,0,409.34,0,3927.99,6085.34,26755.65,0,0,0,495.45,0,2650.54
"31","034","31034",Yucatán,9491.03000,94.09100,Hocabá,"2332","2333",Centro,"3",100.77,1257,0,0,481.74,0,0,83.82,0,0,0,7572.92,0,0,0,0,0,0
"31","035","31035",Yucatán,12065.49000,119.60005,Hoctún,"2333","2334",Centro,"3",0,0,0,0,56.05,0,0,120.63,0,0,0,11894.21,0,0,0,0,0,0
"31","036","31036",Yucatán,19981.44000,198.13180,Homún,"2334","2335",Centro,"3",0,1071.32,76.54,0,340.6,0,0,103.56,0,0,0,18400.62,0,0,0,0,0,0
"31","037","31037",Yucatán,19757.15000,195.90283,Huhí,"2335","2336",Centro,"3",0,265.69,10.09,0,108.85,0,0,98.12,0,0,0,19282.67,0,0,0,0,0,0
"31","038","31038",Yucatán,83964.62000,832.05739,Hunucmá,"2336","2337",Poniente,"1",2505.16,301.68,469.19,13688.84,2966.94,324.95,4465.16,874.79,534.71,4024.53,45505.2,3840.14,0,179.43,0,4151.96,0,0
