cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","007","31007",Yucatán,10147.40000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",0,1475.83,0,0,202.18,0,0,0,198.84,0,0,2866.37,5409.8,0,0,0,0,0,0
"31","008","31008",Yucatán,29074.94000,288.14560,Calotmul,"2306","2307",Noreste,"5",0,3902.81,0,0,4717.8,0,0,0,117.93,0,0,0,20322.98,0,0,0,0,0,0
"31","009","31009",Yucatán,12880.88000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",108.02,3207.54,0,0,2525.19,0,0,0,254.03,0,0,0,6790.55,0,0,0,0,0,0
"31","010","31010",Yucatán,35625.97000,353.42205,Cantamayec,"2308","2309",Oriente,"6",0,652.43,0,0,212.46,0,0,0,52.42,0,0,0,34720.46,0,0,0,0,0,0
"31","011","31011",Yucatán,60287.13000,597.58699,Celestún,"2309","2310",Poniente,"1",0,0,166.59,13983.66,2252.2,0,0,2005.84,85.35,761.65,12675.58,15832.77,1541.79,1232.55,0,0,6595.03,0,1094.94
"31","012","31012",Yucatán,54253.94000,537.66777,Cenotillo,"2310","2311",Noreste,"5",0,1590.33,0,0,29310.61,0,0,0,200.99,0,0,0,23144.85,0,0,0,0,0,0
"31","013","31013",Yucatán,6333.98000,62.76617,Conkal,"2311","2312",Noroeste,"2",73.15,1911.78,0,0,296.39,0,0,0,1468.29,0,0,2589.99,0,0,0,0,0,0,0
"31","014","31014",Yucatán,13589.81000,134.76718,Cuncunul,"2312","2313",Oriente,"6",0,106.19,0,0,33.6,0,0,0,56.67,0,0,0,13389.12,0,0,0,0,0,0
"31","015","31015",Yucatán,9348.41000,92.69076,Cuzamá,"2313","2314",Centro,"3",180.61,252.72,6.69,0,79.49,0,0,0,57.7,0,0,0,8777.49,0,0,0,0,0,0
"31","016","31016",Yucatán,11465.42000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",33.56,0.01,0,0,15.23,0,0,0,139.56,0,0,0,11280.49,0,0,0,0,0,0
"31","017","31017",Yucatán,44348.89000,439.89861,Chankom,"2315","2316",Oriente,"6",0,7392.16,0,0,460.1,0,0,0,147.63,0,0,0,36342.85,0,0,0,0,0,0
"31","018","31018",Yucatán,16940.66000,168.03446,Chapab,"2316","2317",Sur,"7",422.26,690.94,7.8,0,20.55,0,0,0,135.57,0,0,0,15678.15,0,0,0,0,0,0
"31","019","31019",Yucatán,139846.00000,1386.41357,Chemax,"2317","2318",Oriente,"6",0,10654.3,0,0,9288.4,0,4103.9,0,616.02,0,0,0,115089.25,0,0,0,0,0,0
"31","020","31020",Yucatán,4427.38000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",0,996.76,0,0,31.13,0,0,160.61,509.29,0,0,2733.58,0,0,0,0,0,0,0
"31","021","31021",Yucatán,46996.25000,466.20642,Chichimilá,"2319","2320",Oriente,"6",0,255.99,7.45,0,2048.49,0,0,0,196.63,0,0,0,44467.47,0,0,0,0,0,0
"31","022","31022",Yucatán,47380.37000,470.16167,Chikindzonot,"2320","2321",Oriente,"6",0,1433.36,0,0,0,0,0,0,110.35,0,0,0,45828.13,0,0,0,0,0,0
"31","023","31023",Yucatán,29285.79000,290.36740,Chocholá,"2321","2322",Poniente,"1",177.66,3961.67,57.31,0,2222.31,0,0,0,115.64,0,0,3553.49,19238.04,0,0,0,0,0,0
"31","024","31024",Yucatán,8383.77000,83.16274,Chumayel,"2322","2323",Sur,"7",0,1512.21,0,0,0,0,0,0,116.58,0,0,0,6760.01,0,0,0,0,0,0
"31","025","31025",Yucatán,7991.30000,79.27994,Dzán,"2323","2324",Sur,"7",2156.91,792.59,0,0,390.48,0,0,0,258.9,0,0,0,4398.88,0,0,0,0,0,0
