cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16
"31","019","31019",Yucatán,139751.86000,1386.41357,Chemax,"2317","2318",Oriente,"6",0,11985.18,0,0,9809.29,0,522.07,0,0,0,117435.32,0,0,0,0,0
"31","020","31020",Yucatán,4431.37000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",0,997.33,0,0,32.87,0,509.13,0,0,2892.05,0,0,0,0,0,0
"31","021","31021",Yucatán,46976.02000,466.20642,Chichimilá,"2319","2320",Oriente,"6",0,0,7.45,0,0.58,0,196.64,0,0,0,46771.35,0,0,0,0,0
"31","022","31022",Yucatán,47371.84000,470.16167,Chikindzonot,"2320","2321",Oriente,"6",0,0,0,0,0,0,110.34,0,0,0,47261.5,0,0,0,0,0
"31","023","31023",Yucatán,29326.12000,290.36740,Chocholá,"2321","2322",Poniente,"1",177.51,6814.47,57.36,0,1902.86,0,115.64,0,0,2493.79,17764.49,0,0,0,0,0
"31","024","31024",Yucatán,8388.79000,83.16274,Chumayel,"2322","2323",Sur,"7",0,0,0,0,0,0,87.69,0,0,0,8301.1,0,0,0,0,0
"31","025","31025",Yucatán,7997.77000,79.27994,Dzán,"2323","2324",Sur,"7",2232.57,1156.26,0,0,22.76,0,258.91,0,0,0,4327.29,0,0,0,0,0
"31","026","31026",Yucatán,17422.14000,172.48678,Dzemul,"2324","2325",Litoral centro,"4",0,3375.45,1243.97,781.82,2490.41,0,409.15,432.66,0,7046.55,1639.56,0,1.61,0,0,0
"31","027","31027",Yucatán,20759.32000,205.59232,Dzidzantún,"2325","2326",Litoral centro,"4",0,5660.82,0,1002.67,7849.49,984.3,444.07,88.98,0,4207.08,521.92,0,0,0,0,0
"31","028","31028",Yucatán,43222.72000,428.12995,Dzilam de Bravo,"2326","2327",Litoral centro,"4",0,0,7.77,15475.53,12777.78,288.68,47.99,243.75,480.87,8626.77,2579.56,0,0,1639.1,0,0
"31","029","31029",Yucatán,50647.64000,501.70990,Dzilam González,"2327","2328",Litoral centro,"4",0,1755.82,39.18,147.97,37966.56,0,302.92,0,0,2950.59,7483.74,0,0,0.85,0,0
"31","030","31030",Yucatán,30950.27000,306.86940,Dzitás,"2328","2329",Oriente,"6",0,0,0,0,209.06,0,123.74,0,0,0,30617.47,0,0,0,0,0
"31","031","31031",Yucatán,13342.28000,132.20039,Dzoncauich,"2329","2330",Litoral centro,"4",0,2291.32,1.25,0,8512.74,0,51.37,0,0,0,2485.6,0,0,0,0,0
"31","032","31032",Yucatán,73505.34000,728.68756,Espita,"2330","2331",Noreste,"5",0,628.37,0,0,18996.7,0,290.71,0,0,0,53589.57,0,0,0,0,0
"31","033","31033",Yucatán,58746.65000,581.48907,Halachó,"2331","2332",Poniente,"1",1495.27,3578.89,0,4453.1,3080.74,0,1494.95,0,3998.04,8677.66,28396.29,0,0,3478.82,0,92.88
"31","034","31034",Yucatán,9496.25000,94.09100,Hocabá,"2332","2333",Centro,"3",100.77,1257,0,0,481.74,0,83.82,0,0,0,7572.92,0,0,0,0,0
"31","035","31035",Yucatán,12070.89000,119.60005,Hoctún,"2333","2334",Centro,"3",0,0,0,0,58.36,0,120.63,0,0,0,11891.9,0,0,0,0,0
"31","036","31036",Yucatán,19992.65000,198.13180,Homún,"2334","2335",Centro,"3",0,1071.32,76.54,0,340.6,0,103.56,0,0,0,18400.62,0,0,0,0,0
"31","037","31037",Yucatán,19765.42000,195.90283,Huhí,"2335","2336",Centro,"3",0,265.69,10.09,0,7.5,0,98.12,0,0,0,19384.02,0,0,0,0,0
"31","038","31038",Yucatán,84097.45000,832.05739,Hunucmá,"2336","2337",Poniente,"1",1924.03,301.68,527.79,15962.76,1476.12,3935.86,1709.5,465.91,4249.47,48622.89,1936.29,179.43,0,2540.94,0,0
"31","039","31039",Yucatán,13687.38000,135.49163,Ixil,"2337","2338",Noroeste,"2",0,321.9,298.26,1480.5,1950.41,0,201.65,207.98,0,8696.13,0,0,0,528.67,0,0
