cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_10,clase_11,clase_13,clase_14,clase_15,clase_16
"31","031","31031",Yucatán,13342.28000,132.20039,Dzoncauich,"2329","2330",Litoral centro,"4",0,1921.79,0,0,4563.26,0,0,0,857.34,5999.9,0,0,0,0
"31","032","31032",Yucatán,73505.34000,728.68756,Espita,"2330","2331",Noreste,"5",0,1394,0,0,8245.65,0,0,0,0,63865.69,0,0,0,0
"31","033","31033",Yucatán,58746.65000,581.48907,Halachó,"2331","2332",Poniente,"1",0,4074.28,0,11387.23,1910.6,0,0,0,28448.36,5129.11,0,581.43,0,7108.56
"31","034","31034",Yucatán,9496.25000,94.09100,Hocabá,"2332","2333",Centro,"3",0,1891.99,0,0,0,0,0,0,2930.67,4673.6,0,0,0,0
"31","035","31035",Yucatán,12070.89000,119.60005,Hoctún,"2333","2334",Centro,"3",0,1178.93,0,0,34,0,0,0,172.4,10685.56,0,0,0,0
"31","036","31036",Yucatán,19992.65000,198.13180,Homún,"2334","2335",Centro,"3",0,1828.45,0,0,983.07,0,0,0,7578.03,9603.1,0,0,0,0
"31","037","31037",Yucatán,19765.42000,195.90283,Huhí,"2335","2336",Centro,"3",0,1325.77,0,0,439,0,0,0,325.75,17674.9,0,0,0,0
"31","038","31038",Yucatán,84097.45000,832.05739,Hunucmá,"2336","2337",Poniente,"1",0,8831.47,0,22265.02,417.61,2030.17,0,56.09,44483.58,542.14,0,4153.4,0,0
"31","039","31039",Yucatán,13687.38000,135.49163,Ixil,"2337","2338",Noroeste,"2",0,2390.07,0,1446.06,579,219.13,0,196.07,8461.91,0,0,388.68,0,0
"31","040","31040",Yucatán,45886.56000,454.70860,Izamal,"2338","2339",Centro,"3",0,12791.14,0,0,1522.01,0,0,0,1576.75,29996.66,0,0,0,0
"31","041","31041",Yucatán,10233.55000,101.34060,Kanasín,"2339","2340",Noroeste,"2",0,5106.57,0,0,91,0,0,0,4878.73,157.24,0,0,0,0
"31","042","31042",Yucatán,19973.32000,197.97444,Kantunil,"2340","2341",Centro,"3",0,412.45,0,0,469.88,0,0,0,0,19090.99,0,0,0,0
"31","043","31043",Yucatán,13731.66000,136.21297,Kaua,"2341","2342",Oriente,"6",0,0,0,0,92,0,0,0,0,13731.66,0,0,0,0
"31","044","31044",Yucatán,35644.62000,352.74649,Kinchil,"2342","2343",Poniente,"1",0,5325.16,0,0,28.28,0,0,0,29731.08,545.58,0,0,0,14.52
"31","045","31045",Yucatán,15796.80000,156.42068,Kopomá,"2343","2344",Poniente,"1",0,2610.45,0,0,572,0,0,0,11453.16,1161.19,0,0,0,0
"31","046","31046",Yucatán,10048.21000,99.59496,Mama,"2344","2345",Sur,"7",0,38.06,0,0,0,0,0,0,5383.75,4626.4,0,0,0,0
"31","047","31047",Yucatán,12686.82000,125.77785,Maní,"2345","2346",Sur,"7",268.04,0,0,0,0,0,0,0,0,12418.77,0,0,0,0
"31","048","31048",Yucatán,91241.57000,903.26287,Maxcanú,"2346","2347",Poniente,"1",153,6695.72,0,2530.78,3550.69,0,0,0,47027.46,30215.66,0,725.12,0,322.33
"31","049","31049",Yucatán,9366.27000,92.86027,Mayapán,"2347","2348",Sur,"7",0,0,0,0,63.12,0,0,0,0,9303.15,0,0,0,0
"31","050","31050",Yucatán,88438.28000,875.57653,Mérida,"2348","2349",Noroeste,"2",0,29755.54,0,0,617.63,0,4896,0,45674.25,7494.86,0,0,0,0
"31","051","31051",Yucatán,4725.65000,46.78734,Mocochá,"2349","2350",Noroeste,"2",0,2162.95,0,0,123.63,0,0,0,2439.06,0,0,0,0,0
"31","052","31052",Yucatán,32078.84000,317.66895,Motul,"2350","2351",Litoral centro,"4",0,17424.94,0,131.93,208.88,0,0,0,12391.54,1750.97,0,170.57,0,0
"31","053","31053",Yucatán,39782.31000,394.15350,Muna,"2351","2352",Sur,"7",2623,567.8,0,0,400,0,0,0,11700.87,24490.65,0,0,0,0
"31","054","31054",Yucatán,7168.47000,70.99324,Muxupip,"2352","2353",Litoral centro,"4",0,1671.84,0,0,0.61,0,0,0,5496.02,0,0,0,0,0
"31","055","31055",Yucatán,25974.52000,257.26178,Opichén,"2353","2354",Poniente,"1",0,1067.54,0,0,78,0,0,0,11509.92,13319.06,0,0,0,0
"31","056","31056",Yucatán,86372.29000,856.52084,Oxkutzcab,"2354","2355",Sur,"7",2996.78,459.32,0,186,191,0,0,0,0,82495.29,0,0,0,0
"31","057","31057",Yucatán,66504.74000,658.99951,Panabá,"2355","2356",Noreste,"5",0,0,0,0,54059.58,0,0,0,24.66,12420.49,0,0,0,0
"31","058","31058",Yucatán,105515.28000,1047.35993,Peto,"2356","2357",Oriente,"6",202,1580.67,0,0,3693.23,0,0,0,693.11,99253.25,0,0,0,0
"31","059","31059",Yucatán,66452.69000,657.35070,Progreso,"2357","2358",Noroeste,"2",0,2404.06,0,4147.97,2888.37,6154.13,0,799.77,23728.31,0,0,30.21,0,0
