ageb_id,year,budget,budget_spl,stress,cat_vul,ex_cat_vul
"7350","2060","1000",action_budget,base,"3","5"
"7351","2060","1000",action_budget,base,"4","5"
"7352","2060","1000",action_budget,base,"4","5"
"7353","2060","1000",action_budget,base,"4","5"
"7354","2060","1000",action_budget,base,"2","3"
"7355","2060","1000",action_budget,base,"4","5"
"7356","2060","1000",action_budget,base,"4","5"
"7357","2060","1000",action_budget,base,"2","3"
"7358","2060","1000",action_budget,base,"4","5"
"7359","2060","1000",action_budget,base,"3","5"
"7360","2060","1000",action_budget,base,"3","5"
"7361","2060","1000",action_budget,base,"1","3"
"7362","2060","1000",action_budget,base,"1","3"
"7363","2060","1000",action_budget,base,"1","3"
"7364","2060","1000",action_budget,base,"1","3"
"7365","2060","1000",action_budget,base,"1","3"
"7366","2060","1000",action_budget,base,"1","3"
"7367","2060","1000",action_budget,base,"4","5"
"7368","2060","1000",action_budget,base,"4","5"
"7369","2060","1000",action_budget,base,"3","5"
"7370","2060","1000",action_budget,base,"1","3"
"7371","2060","1000",action_budget,base,"1","3"
"7372","2060","1000",action_budget,base,"1","3"
"7373","2060","1000",action_budget,base,"1","3"
"7374","2060","1000",action_budget,base,"1","3"
"7375","2060","1000",action_budget,base,"1","3"
"7376","2060","1000",action_budget,base,"1","3"
"7377","2060","1000",action_budget,base,"1","3"
"7378","2060","1000",action_budget,base,"1","3"
"7379","2060","1000",action_budget,base,"3","5"
"7380","2060","1000",action_budget,base,"3","5"
"7381","2060","1000",action_budget,base,"1","3"
"7382","2060","1000",action_budget,base,"1","3"
"7383","2060","1000",action_budget,base,"2","3"
"7384","2060","1000",action_budget,base,"2","3"
"7385","2060","1000",action_budget,base,"3","5"
"7386","2060","1000",action_budget,base,"3","5"
"7387","2060","1000",action_budget,base,"1","3"
"7388","2060","1000",action_budget,base,"1","3"
"7389","2060","1000",action_budget,base,"4","5"
"7390","2060","1000",action_budget,base,"1","3"
"7391","2060","1000",action_budget,base,"4","5"
"7392","2060","1000",action_budget,base,"1","3"
"7393","2060","1000",action_budget,base,"1","3"
"7394","2060","1000",action_budget,base,"1","3"
"7395","2060","1000",action_budget,base,"4","5"
"7396","2060","1000",action_budget,base,"1","3"
"7397","2060","1000",action_budget,base,"3","5"
"7398","2060","1000",action_budget,base,"3","5"
"7399","2060","1000",action_budget,base,"1","3"
"7400","2060","1000",action_budget,base,"1","3"
"7401","2060","1000",action_budget,base,"3","5"
"7402","2060","1000",action_budget,base,"1","3"
"7403","2060","1000",action_budget,base,"4","5"
"7404","2060","1000",action_budget,base,"3","5"
"7405","2060","1000",action_budget,base,"3","5"
"7406","2060","1000",action_budget,base,"3","5"
"7407","2060","1000",action_budget,base,"1","3"
"7408","2060","1000",action_budget,base,"1","3"
"7409","2060","1000",action_budget,base,"3","5"
"7410","2060","1000",action_budget,base,"3","5"
"7411","2060","1000",action_budget,base,"3","5"
"7412","2060","1000",action_budget,base,"3","5"
"7413","2060","1000",action_budget,base,"1","3"
"7414","2060","1000",action_budget,base,"1","3"
"7415","2060","1000",action_budget,base,"4","5"
"7416","2060","1000",action_budget,base,"4","5"
"7417","2060","1000",action_budget,base,"4","5"
"7418","2060","1000",action_budget,base,"5","5"
"7419","2060","1000",action_budget,base,"4","5"
"7420","2060","1000",action_budget,base,"4","5"
"7421","2060","1000",action_budget,base,"5","5"
"7422","2060","1000",action_budget,base,"4","5"
"7423","2060","1000",action_budget,base,"4","5"
"7424","2060","1000",action_budget,base,"5","5"
"7425","2060","1000",action_budget,base,"4","5"
"7426","2060","1000",action_budget,base,"4","5"
"7427","2060","1000",action_budget,base,"4","5"
"7428","2060","1000",action_budget,base,"4","5"
"7429","2060","1000",action_budget,base,"4","5"
"7430","2060","1000",action_budget,base,"3","5"
"7431","2060","1000",action_budget,base,"3","5"
"7432","2060","1000",action_budget,base,"4","5"
"7433","2060","1000",action_budget,base,"4","5"
"7434","2060","1000",action_budget,base,"4","5"
"7435","2060","1000",action_budget,base,"4","5"
"7436","2060","1000",action_budget,base,"4","5"
"7437","2060","1000",action_budget,base,"2","4"
"7438","2060","1000",action_budget,base,"3","4"
"7439","2060","1000",action_budget,base,"4","5"
"7440","2060","1000",action_budget,base,"4","5"
"7441","2060","1000",action_budget,base,"4","5"
"7442","2060","1000",action_budget,base,"4","5"
"7443","2060","1000",action_budget,base,"4","5"
"7444","2060","1000",action_budget,base,"4","5"
"7445","2060","1000",action_budget,base,"4","5"
"7446","2060","1000",action_budget,base,"4","5"
"7447","2060","1000",action_budget,base,"4","5"
"7448","2060","1000",action_budget,base,"4","5"
"7449","2060","1000",action_budget,base,"4","5"
"7450","2060","1000",action_budget,base,"5","5"
"7451","2060","1000",action_budget,base,"5","5"
"7452","2060","1000",action_budget,base,"5","5"
"7453","2060","1000",action_budget,base,"5","5"
"7454","2060","1000",action_budget,base,"5","5"
"7455","2060","1000",action_budget,base,"5","5"
"7456","2060","1000",action_budget,base,"4","5"
"7457","2060","1000",action_budget,base,"5","5"
"7458","2060","1000",action_budget,base,"4","5"
"7459","2060","1000",action_budget,base,"5","5"
"7460","2060","1000",action_budget,base,"5","5"
"7461","2060","1000",action_budget,base,"5","5"
"7462","2060","1000",action_budget,base,"5","5"
"7463","2060","1000",action_budget,base,"5","5"
"7464","2060","1000",action_budget,base,"5","5"
"7465","2060","1000",action_budget,base,"5","5"
"7466","2060","1000",action_budget,base,"5","5"
"7467","2060","1000",action_budget,base,"5","5"
"7468","2060","1000",action_budget,base,"5","5"
"7469","2060","1000",action_budget,base,"4","5"
"7470","2060","1000",action_budget,base,"5","5"
"7471","2060","1000",action_budget,base,"5","5"
"7472","2060","1000",action_budget,base,"5","5"
"7473","2060","1000",action_budget,base,"3","5"
"7474","2060","1000",action_budget,base,"5","5"
"7475","2060","1000",action_budget,base,"5","5"
"7476","2060","1000",action_budget,base,"4","5"
"7477","2060","1000",action_budget,base,"4","5"
"7478","2060","1000",action_budget,base,"4","5"
"7479","2060","1000",action_budget,base,"4","5"
"7480","2060","1000",action_budget,base,"5","5"
"7481","2060","1000",action_budget,base,"4","5"
"7482","2060","1000",action_budget,base,"5","5"
"7483","2060","1000",action_budget,base,"4","5"
"7484","2060","1000",action_budget,base,"4","5"
"7485","2060","1000",action_budget,base,"4","5"
"7486","2060","1000",action_budget,base,"5","5"
"7487","2060","1000",action_budget,base,"4","5"
"7488","2060","1000",action_budget,base,"4","5"
"7489","2060","1000",action_budget,base,"5","5"
"7490","2060","1000",action_budget,base,"4","5"
"7491","2060","1000",action_budget,base,"4","5"
"7492","2060","1000",action_budget,base,"4","5"
